"subject","danish","trial","colour1","colour2","col1_name","col2_name","colour_distance","category","accuracy","rt"
1,"No",1,"[1, -0.625, -0.25]","[1, -0.925, -0.85]","pink","red",0.6,"across",1,839.738026668783
1,"No",2,"[1, -0.475, 0.050000000000000044]","[1, -0.625, -0.25]","pink","pink",0.3,"within",1,809.828693338204
1,"No",3,"[1, -0.625, -0.25]","[1, -0.55, -0.10000000000000009]","pink","pink",0.15,"within",1,664.910933293868
1,"No",5,"[1, -0.7, -0.4]","[1, -0.925, -0.85]","pink","red",0.45,"across",1,448.217173281591
1,"No",7,"[1, -1.0, -1.0]","[1, -0.625, -0.25]","red","pink",0.75,"across",1,411.918080004398
1,"No",8,"[1, -0.55, -0.10000000000000009]","[1, -1.0, -1.0]","pink","red",0.9,"across",1,431.744426663499
1,"No",9,"[1, -0.4, 0.19999999999999996]","[1, -0.55, -0.10000000000000009]","pink","pink",0.3,"within",1,1056.01749330526
1,"No",10,"[1, -0.775, -0.55]","[1, -0.925, -0.85]","pink","red",0.3,"across",1,573.07562668575
1,"No",11,"[1, -0.55, -0.10000000000000009]","[1, -0.625, -0.25]","pink","pink",0.15,"within",1,522.626133344602
1,"No",13,"[1, -0.625, -0.25]","[1, -0.475, 0.050000000000000044]","pink","pink",0.3,"within",1,578.624426678289
1,"No",14,"[1, -0.55, -0.10000000000000009]","[1, -0.775, -0.55]","pink","pink",0.45,"within",1,462.423466669861
1,"No",15,"[1, -0.775, -0.55]","[1, -0.85, -0.7]","pink","pink",0.15,"within",1,903.131733299233
1,"No",16,"[1, -0.55, -0.10000000000000009]","[1, -0.85, -0.7]","pink","pink",0.6,"within",1,563.75978665892
1,"No",17,"[1, -0.925, -0.85]","[1, -0.625, -0.25]","red","pink",0.6,"across",1,554.099626664538
1,"No",18,"[1, -0.85, -0.7]","[1, -0.7, -0.4]","pink","pink",0.3,"within",1,443.70090670418
1,"No",19,"[1, -0.7, -0.4]","[1, -0.4, 0.19999999999999996]","pink","pink",0.6,"within",1,453.526186698582
1,"No",20,"[1, -1.0, -1.0]","[1, -0.32500000000000007, 0.34999999999999987]","red","pink",1.35,"across",1,632.195413345471
1,"No",21,"[1, -0.85, -0.7]","[1, -0.775, -0.55]","pink","pink",0.15,"within",1,545.01461336622
1,"No",22,"[1, -0.775, -0.55]","[1, -0.55, -0.10000000000000009]","pink","pink",0.45,"within",1,581.395199988037
1,"No",23,"[1, -1.0, -1.0]","[1, -0.775, -0.55]","red","pink",0.45,"across",1,639.907839999069
1,"No",24,"[1, -0.625, -0.25]","[1, -0.775, -0.55]","pink","pink",0.3,"within",1,680.775253335014
1,"No",25,"[1, -0.475, 0.050000000000000044]","[1, -1.0, -1.0]","pink","red",1.05,"across",1,450.737493345514
1,"No",26,"[1, -0.4, 0.19999999999999996]","[1, -0.475, 0.050000000000000044]","pink","pink",0.15,"within",1,748.243626614567
1,"No",27,"[1, -0.925, -0.85]","[1, -0.55, -0.10000000000000009]","red","pink",0.75,"across",1,585.402026656084
1,"No",28,"[1, -0.7, -0.4]","[1, -0.475, 0.050000000000000044]","pink","pink",0.45,"within",1,566.406400001142
1,"No",29,"[1, -0.85, -0.7]","[1, -0.925, -0.85]","pink","red",0.15,"across",1,533.313706633635
1,"No",30,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.7, -0.4]","pink","pink",0.75,"within",1,449.736533337273
1,"No",31,"[1, -0.925, -0.85]","[1, -0.85, -0.7]","red","pink",0.15,"across",1,634.305279992986
1,"No",32,"[1, -0.85, -0.7]","[1, -0.4, 0.19999999999999996]","pink","pink",0.9,"within",1,440.690773364622
1,"No",33,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.45,"within",1,544.035839964636
1,"No",34,"[1, -0.775, -0.55]","[1, -1.0, -1.0]","pink","red",0.45,"across",1,529.807786631864
1,"No",35,"[1, -1.0, -1.0]","[1, -0.475, 0.050000000000000044]","red","pink",1.05,"across",1,457.910613331478
1,"No",36,"[1, -0.625, -0.25]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.6,"within",1,481.057706638239
1,"No",37,"[1, -0.925, -0.85]","[1, -1.0, -1.0]","red","red",0.15,"within",1,1992.25770664634
1,"No",38,"[1, -1.0, -1.0]","[1, -0.85, -0.7]","red","pink",0.3,"across",1,592.897706665099
1,"No",39,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.925, -0.85]","pink","red",1.2,"across",1,474.936746701133
1,"No",40,"[1, -0.775, -0.55]","[1, -0.475, 0.050000000000000044]","pink","pink",0.6,"within",1,484.198399994057
1,"No",41,"[1, -0.475, 0.050000000000000044]","[1, -0.55, -0.10000000000000009]","pink","pink",0.15,"within",1,743.640320026316
1,"No",42,"[1, -0.4, 0.19999999999999996]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.15,"within",1,1477.20405337168
1,"No",43,"[1, -0.625, -0.25]","[1, -0.4, 0.19999999999999996]","pink","pink",0.45,"within",1,487.181226664688
1,"No",44,"[1, -0.625, -0.25]","[1, -0.85, -0.7]","pink","pink",0.45,"within",1,465.577813331038
1,"No",45,"[1, -0.4, 0.19999999999999996]","[1, -0.85, -0.7]","pink","pink",0.9,"within",1,499.073279963341
1,"No",46,"[1, -1.0, -1.0]","[1, -0.7, -0.4]","red","pink",0.6,"across",1,494.216106657404
