,subject,danish,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
0,PernilleKJ,Yes,1,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.7, -0.4]",pink,pink,0.7499999999999999,within,1,1066.615568997804
1,PernilleKJ,Yes,2,"[1, -1.0, -1.0]","[1, -0.625, -0.25]",red,pink,0.75,across,1,1511.9901620200835
2,PernilleKJ,Yes,3,"[1, -0.85, -0.7]","[1, -0.775, -0.55]",red,pink,0.1499999999999999,across,0,2115.6432810239494
3,PernilleKJ,Yes,4,"[1, -0.775, -0.55]","[1, -0.475, 0.050000000000000044]",pink,pink,0.6000000000000001,within,1,2121.6170029947534
4,PernilleKJ,Yes,5,"[1, -1.0, -1.0]","[1, -0.925, -0.85]",red,red,0.15000000000000002,within,0,3309.4609810505062
5,PernilleKJ,Yes,6,"[1, -0.625, -0.25]","[1, -1.0, -1.0]",pink,red,0.75,across,1,927.7730600442737
6,PernilleKJ,Yes,7,"[1, -0.7, -0.4]","[1, -0.925, -0.85]",pink,red,0.44999999999999996,across,1,1100.653826026246
7,PernilleKJ,Yes,8,"[1, -1.0, -1.0]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.3499999999999999,across,1,812.1239439933561
8,PernilleKJ,Yes,9,"[1, -0.625, -0.25]","[1, -0.475, 0.050000000000000044]",pink,pink,0.30000000000000004,within,0,884.4093199586496
9,PernilleKJ,Yes,10,"[1, -0.4, 0.19999999999999996]","[1, -0.7, -0.4]",pink,pink,0.6,within,1,1560.518488055095
10,PernilleKJ,Yes,11,"[1, -0.85, -0.7]","[1, -0.55, -0.10000000000000009]",red,pink,0.5999999999999999,across,1,519.0817940165289
11,PernilleKJ,Yes,12,"[1, -1.0, -1.0]","[1, -0.775, -0.55]",red,pink,0.44999999999999996,across,1,733.4785200073384
12,PernilleKJ,Yes,13,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.85, -0.7]",pink,red,1.0499999999999998,across,1,552.1771439816803
13,PernilleKJ,Yes,14,"[1, -0.7, -0.4]","[1, -0.85, -0.7]",pink,red,0.29999999999999993,across,1,928.7745149922557
14,PernilleKJ,Yes,15,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.44999999999999996,within,1,604.9675539834425
15,PernilleKJ,Yes,16,"[1, -0.625, -0.25]","[1, -0.55, -0.10000000000000009]",pink,pink,0.1499999999999999,within,0,560.8468009741046
16,PernilleKJ,Yes,17,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.475, 0.050000000000000044]",pink,pink,0.2999999999999998,within,1,1042.1335839782842
17,PernilleKJ,Yes,18,"[1, -0.475, 0.050000000000000044]","[1, -1.0, -1.0]",pink,red,1.05,across,1,844.7455620043911
18,PernilleKJ,Yes,19,"[1, -0.55, -0.10000000000000009]","[1, -1.0, -1.0]",pink,red,0.8999999999999999,across,1,709.2817550292239
19,PernilleKJ,Yes,20,"[1, -0.55, -0.10000000000000009]","[1, -0.475, 0.050000000000000044]",pink,pink,0.15000000000000013,within,1,595.3528949758038
20,PernilleKJ,Yes,21,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -1.0, -1.0]",pink,red,1.3499999999999999,across,1,742.9580870084465
21,PernilleKJ,Yes,22,"[1, -1.0, -1.0]","[1, -0.85, -0.7]",red,red,0.30000000000000004,within,1,660.1232140092179
22,PernilleKJ,Yes,23,"[1, -0.475, 0.050000000000000044]","[1, -0.625, -0.25]",pink,pink,0.30000000000000004,within,1,689.0128319500946
23,PernilleKJ,Yes,24,"[1, -0.7, -0.4]","[1, -0.55, -0.10000000000000009]",pink,pink,0.29999999999999993,within,0,615.9020779887214
24,PernilleKJ,Yes,25,"[1, -1.0, -1.0]","[1, -0.7, -0.4]",red,pink,0.6,across,1,538.1392310373485
25,PernilleKJ,Yes,26,"[1, -0.925, -0.85]","[1, -0.475, 0.050000000000000044]",red,pink,0.9,across,1,573.3500729547814
26,PernilleKJ,Yes,27,"[1, -0.925, -0.85]","[1, -0.775, -0.55]",red,pink,0.29999999999999993,across,1,762.0738159748726
27,PernilleKJ,Yes,28,"[1, -0.775, -0.55]","[1, -0.925, -0.85]",pink,red,0.29999999999999993,across,1,661.2624760018662
28,PernilleKJ,Yes,29,"[1, -0.55, -0.10000000000000009]","[1, -0.7, -0.4]",pink,pink,0.29999999999999993,within,1,1877.7050910284743
29,PernilleKJ,Yes,30,"[1, -0.625, -0.25]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.5999999999999999,within,1,616.1539239692502
30,PernilleKJ,Yes,31,"[1, -0.625, -0.25]","[1, -0.775, -0.55]",pink,pink,0.30000000000000004,within,1,518.1253320188262
31,PernilleKJ,Yes,32,"[1, -0.85, -0.7]","[1, -0.625, -0.25]",red,pink,0.44999999999999996,across,1,484.6714439918287
32,PernilleKJ,Yes,33,"[1, -1.0, -1.0]","[1, -0.4, 0.19999999999999996]",red,pink,1.2,across,1,517.1393009950407
33,PernilleKJ,Yes,34,"[1, -0.4, 0.19999999999999996]","[1, -1.0, -1.0]",pink,red,1.2,across,1,564.6415950031951
34,PernilleKJ,Yes,35,"[1, -0.925, -0.85]","[1, -0.55, -0.10000000000000009]",red,pink,0.7499999999999999,across,1,583.1470309640281
35,PernilleKJ,Yes,36,"[1, -0.475, 0.050000000000000044]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.2999999999999998,within,1,548.7190450076014
36,PernilleKJ,Yes,37,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.925, -0.85]",pink,red,1.1999999999999997,across,1,793.9188359887339
37,PernilleKJ,Yes,38,"[1, -0.55, -0.10000000000000009]","[1, -0.775, -0.55]",pink,pink,0.44999999999999996,within,1,645.513738039881
38,PernilleKJ,Yes,39,"[1, -1.0, -1.0]","[1, -0.475, 0.050000000000000044]",red,pink,1.05,across,1,1109.7612580051646
39,PernilleKJ,Yes,40,"[1, -0.775, -0.55]","[1, -1.0, -1.0]",pink,red,0.44999999999999996,across,1,906.1302290065214
